Article File,Article Citation,AccessionID,LastUpdated (YYYY-MM-DD HH:MM:SS),PMID,License,Retracted
PMC000xxxxxx/PMC176545.txt,"PLoS Biol. 2003 Oct 18; 1(1):e5",PMC176545,"2021-01-05 08:21:03",12929205,"CC BY",no
PMC000xxxxxx/PMC176546.txt,"PLoS Biol. 2003 Oct 18; 1(1):e6",PMC176546,"2021-01-05 08:21:06",12929206,"CC BY",no
PMC000xxxxxx/PMC176547.txt,"PLoS Biol. 2003 Oct 18; 1(1):e7",PMC176547,"2021-01-05 08:21:06",0,"CC BY",no
PMC000xxxxxx/PMC176548.txt,"PLoS Biol. 2003 Oct 18; 1(1):e11",PMC176548,"2021-01-05 08:21:04",0,"CC BY",no
PMC000xxxxxx/PMC193604.txt,"PLoS Biol. 2003 Oct 15; 1(1):e13",PMC193604,"2021-01-05 08:21:03",12975658,"CC BY",no
PMC000xxxxxx/PMC193605.txt,"PLoS Biol. 2003 Oct 15; 1(1):e19",PMC193605,"2021-01-05 08:21:03",12975657,"CC BY",no
PMC000xxxxxx/PMC193606.txt,"PLoS Biol. 2003 Oct 15; 1(1):e23",PMC193606,"2021-01-05 08:21:04",0,"CC BY",no
PMC000xxxxxx/PMC193607.txt,"PLoS Biol. 2003 Oct 15; 1(1):e31",PMC193607,"2021-01-05 08:21:04",0,"CC BY",no
PMC000xxxxxx/PMC212319.txt,"BMC Cell Biol. 2003 Sep 11; 4:13",PMC212319,"2022-01-04 23:15:02",12969509,"CC BY",no
PMC000xxxxxx/PMC212687.txt,"PLoS Biol. 2003 Oct 13; 1(1):e1",PMC212687,"2021-01-05 08:21:03",14551903,"CC BY",no
PMC000xxxxxx/PMC212688.txt,"PLoS Biol. 2003 Oct 13; 1(1):e4",PMC212688,"2021-01-05 08:21:04",0,"CC BY",no
PMC000xxxxxx/PMC212689.txt,"PLoS Biol. 2003 Oct 13; 1(1):e8",PMC212689,"2021-01-05 08:21:04",14551906,"CC BY",no
PMC000xxxxxx/PMC212690.txt,"PLoS Biol. 2003 Oct 13; 1(1):e9",PMC212690,"2021-01-05 08:25:30",14551907,"CC BY",no
PMC000xxxxxx/PMC212691.txt,"PLoS Biol. 2003 Oct 13; 1(1):e10",PMC212691,"2021-01-05 08:21:03",14551908,"CC BY",no
PMC000xxxxxx/PMC212692.txt,"PLoS Biol. 2003 Oct 13; 1(1):e12",PMC212692,"2021-01-05 08:21:04",14551910,"CC BY",no
PMC000xxxxxx/PMC212693.txt,"PLoS Biol. 2003 Oct 13; 1(1):e14",PMC212693,"2021-01-05 08:21:04",14551911,"CC BY",no
PMC000xxxxxx/PMC212694.txt,"PLoS Biol. 2003 Oct 13; 1(1):e15",PMC212694,"2021-01-05 08:21:04",14551912,"CC BY",no
PMC000xxxxxx/PMC212695.txt,"PLoS Biol. 2003 Oct 13; 1(1):e16",PMC212695,"2021-01-05 08:21:06",14551913,"CC BY",no
PMC000xxxxxx/PMC212696.txt,"PLoS Biol. 2003 Oct 13; 1(1):e17",PMC212696,"2021-01-05 08:21:04",14551914,"CC BY",no
PMC000xxxxxx/PMC212697.txt,"PLoS Biol. 2003 Oct 13; 1(1):e18",PMC212697,"2021-01-05 08:21:04",14551915,"CC BY",no
PMC000xxxxxx/PMC212698.txt,"PLoS Biol. 2003 Oct 13; 1(1):e20",PMC212698,"2021-01-05 08:21:04",14551916,"CC BY",no
PMC000xxxxxx/PMC212699.txt,"PLoS Biol. 2003 Oct 13; 1(1):e21",PMC212699,"2021-01-05 08:21:04",14551917,"CC BY",no
PMC000xxxxxx/PMC212700.txt,"PLoS Biol. 2003 Oct 13; 1(1):e24",PMC212700,"2021-01-05 08:25:30",0,"CC BY",no
PMC000xxxxxx/PMC212701.txt,"PLoS Biol. 2003 Oct 13; 1(1):e26",PMC212701,"2021-01-05 08:21:04",0,"CC BY",no
PMC000xxxxxx/PMC212702.txt,"PLoS Biol. 2003 Oct 13; 1(1):e27",PMC212702,"2021-01-05 08:21:04",14551921,"CC BY",no
PMC000xxxxxx/PMC212703.txt,"PLoS Biol. 2003 Oct 13; 1(1):e30",PMC212703,"2021-01-05 08:21:04",0,"CC BY",no
PMC000xxxxxx/PMC212704.txt,"PLoS Biol. 2003 Oct 13; 1(1):e32",PMC212704,"2021-01-05 08:21:04",0,"CC BY",no
PMC000xxxxxx/PMC212705.txt,"PLoS Biol. 2003 Oct 13; 1(1):e34",PMC212705,"2021-01-05 08:21:04",14551925,"CC BY",no
PMC000xxxxxx/PMC212706.txt,"PLoS Biol. 2003 Oct 13; 1(1):e36",PMC212706,"2021-01-05 08:25:30",14551926,"CC BY",no
PMC000xxxxxx/PMC261870.txt,"PLoS Biol. 2003 Nov 17; 1(2):e2",PMC261870,"2021-01-05 08:21:04",14624234,"CC BY",no
PMC000xxxxxx/PMC300675.txt,"PLoS Biol. 2003 Dec 22; 1(3):e29",PMC300675,"2021-01-05 08:21:05",0,"CC BY",no
PMC000xxxxxx/PMC300700.txt,"PLoS Biol. 2003 Dec 22; 1(3):e92",PMC300700,"2021-01-05 08:28:08",0,"CC BY",no
PMC000xxxxxx/PMC300881.txt,"PLoS Biol. 2004 Jan 24; 2(1):e2",PMC300881,"2021-01-05 08:28:02",14737182,"CC BY",no
PMC000xxxxxx/PMC300882.txt,"PLoS Biol. 2004 Jan 15; 2(1):e9",PMC300882,"2021-01-05 08:28:03",14737187,"CC BY",no
PMC000xxxxxx/PMC300883.txt,"PLoS Biol. 2004 Jan 15; 2(1):e15",PMC300883,"2021-01-05 08:28:03",14737191,"CC BY",no
PMC000xxxxxx/PMC300884.txt,"PLoS Biol. 2004 Jan 24; 2(1):e17",PMC300884,"2021-01-05 08:27:51",0,"CC BY",no
PMC000xxxxxx/PMC300885.txt,"PLoS Biol. 2004 Jan 15; 2(1):e18",PMC300885,"2021-01-05 08:28:03",0,"CC BY",no
PMC000xxxxxx/PMC300886.txt,"PLoS Biol. 2004 Jan 15; 2(1):e34",PMC300886,"2021-01-05 08:28:03",0,"CC BY",no
PMC000xxxxxx/PMC314300.txt,"PLoS Biol. 2004 Feb 13; 2(2):e7",PMC314300,"2021-01-05 08:21:06",14737219,"CC BY",no
PMC000xxxxxx/PMC314301.txt,"PLoS Biol. 2004 Feb 13; 2(2):e39",PMC314301,"2021-01-05 08:21:06",0,"CC BY",no
PMC000xxxxxx/PMC314462.txt,"PLoS Biol. 2004 Jan 20; 2(1):e1",PMC314462,"2021-01-05 08:28:03",14737181,"CC BY",no
